"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","事業に従事する者の人件費及び派遣受入者に係る人材・派遣会社への支払額_（万円）","原材料、燃料、電力の使用額等_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"【産業分類　14　パルプ・紙・紙加工品製造業】_太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_串本町","1.0","8.0","3.0","11.0","χ","χ","χ","-","χ","-","χ","χ"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"【産業分類　15　印刷・同関連業】_総　　数","180.0","1225.0","590.0","1815.0","453375.0","772995.0","1423752.0","347027.0","87535.0","-","1858314.0","977573.0"
"【産業分類　15　印刷・同関連業】_和歌山市","75.0","457.0","256.0","713.0","223878.0","313689.0","664110.0","102392.0","15241.0","-","781743.0","431333.0"
"【産業分類　15　印刷・同関連業】_海南市","12.0","63.0","21.0","84.0","25220.0","49898.0","97319.0","265.0","-","-","97584.0","41646.0"
"【産業分類　15　印刷・同関連業】_橋本市","6.0","9.0","14.0","23.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　15　印刷・同関連業】_有田市","3.0","9.0","6.0","15.0","3244.0","4641.0","10870.0","-","1737.0","-","12607.0","7587.0"
"【産業分類　15　印刷・同関連業】_御坊市","5.0","7.0","2.0","9.0","633.0","2905.0","5556.0","-","-","-","5556.0","2525.0"
"【産業分類　15　印刷・同関連業】_田辺市","19.0","81.0","24.0","105.0","27131.0","47500.0","90497.0","305.0","-","-","90802.0","42349.0"
"【産業分類　15　印刷・同関連業】_新宮市","5.0","7.0","6.0","13.0","1240.0","2371.0","5212.0","300.0","500.0","-","6012.0","3468.0"
"【産業分類　15　印刷・同関連業】_紀の川市","10.0","24.0","23.0","47.0","12006.0","15659.0","30360.0","982.0","954.0","-","32296.0","15995.0"
"【産業分類　15　印刷・同関連業】_岩出市","7.0","20.0","14.0","34.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　15　印刷・同関連業】_紀美野町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　15　印刷・同関連業】_かつらぎ町","6.0","396.0","147.0","543.0","86917.0","235383.0","299077.0","196956.0","58376.0","-","554409.0","290431.0"
"【産業分類　15　印刷・同関連業】_九度山町","2.0","2.0","2.0","4.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　15　印刷・同関連業】_高野町","4.0","6.0","6.0","12.0","2668.0","5495.0","10412.0","χ","χ","-","11310.0","5537.0"
"【産業分類　15　印刷・同関連業】_湯浅町","4.0","8.0","6.0","14.0","876.0","2623.0","3957.0","1667.0","1225.0","-","6849.0","4024.0"
"【産業分類　15　印刷・同関連業】_広川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　15　印刷・同関連業】_有田川町","5.0","54.0","21.0","75.0","30736.0","18452.0","105276.0","856.0","-","-","106132.0","56805.0"
"【産業分類　15　印刷・同関連業】_美浜町","1.0","1.0","1.0","2.0","-","χ","χ","-","-","-","χ","χ"
"【産業分類　15　印刷・同関連業】_日高町","1.0","1.0","1.0","2.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　15　印刷・同関連業】_由良町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　15　印刷・同関連業】_印南町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　15　印刷・同関連業】_みなべ町","1.0","-","2.0","2.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　15　印刷・同関連業】_日高川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　15　印刷・同関連業】_白浜町","4.0","10.0","6.0","16.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　15　印刷・同関連業】_上富田町","2.0","49.0","26.0","75.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　15　印刷・同関連業】_すさみ町","2.0","3.0","1.0","4.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　15　印刷・同関連業】_那智勝浦町","2.0","7.0","1.0","8.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　15　印刷・同関連業】_太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　15　印刷・同関連業】_古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　15　印刷・同関連業】_北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　15　印刷・同関連業】_串本町","4.0","11.0","4.0","15.0","1959.0","3686.0","8188.0","187.0","-","-","8375.0","4466.0"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"【産業分類　16　化学工業】_総　　数","90.0","3911.0","1008.0","4919.0","2854740.0","15159591.0","31235483.0","446971.0","443250.0","55047.0","32180751.0","15717436.0"
"【産業分類　16　化学工業】_和歌山市","54.0","3152.0","512.0","3664.0","2371596.0","12624475.0","27162410.0","415764.0","104720.0","55047.0","27737941.0","13994332.0"
"【産業分類　16　化学工業】_海南市","8.0","159.0","108.0","267.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　16　化学工業】_橋本市","1.0","6.0","1.0","7.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　16　化学工業】_有田市","5.0","94.0","143.0","237.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　16　化学工業】_御坊市","4.0","69.0","19.0","88.0","48851.0","229915.0","491067.0","-","-","-","491067.0","248842.0"
"【産業分類　16　化学工業】_田辺市","1.0","-","1.0","1.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　16　化学工業】_新宮市","1.0","17.0","-","17.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　16　化学工業】_紀の川市","3.0","53.0","32.0","85.0","34050.0","370903.0","276947.0","-","216378.0","-","493325.0","103478.0"
"【産業分類　16　化学工業】_岩出市","1.0","5.0","2.0","7.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　16　化学工業】_紀美野町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　16　化学工業】_かつらぎ町","2.0","155.0","164.0","319.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　16　化学工業】_九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　16　化学工業】_高野町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　16　化学工業】_湯浅町","3.0","35.0","5.0","40.0","18165.0","117730.0","171126.0","χ","χ","-","171376.0","56889.0"
"【産業分類　16　化学工業】_広川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　16　化学工業】_有田川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　16　化学工業】_美浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　16　化学工業】_日高町","1.0","26.0","11.0","37.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　16　化学工業】_由良町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　16　化学工業】_印南町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　16　化学工業】_みなべ町","3.0","127.0","4.0","131.0","55033.0","259837.0","414764.0","χ","χ","-","418278.0","106089.0"
"【産業分類　16　化学工業】_日高川町","1.0","5.0","1.0","6.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　16　化学工業】_白浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　16　化学工業】_上富田町","2.0","8.0","5.0","13.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　16　化学工業】_すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　16　化学工業】_那智勝浦町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　16　化学工業】_太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　16　化学工業】_古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　16　化学工業】_北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　16　化学工業】_串本町","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"【産業分類　17　石油製品・石炭製品製造業】_総　　数","18.0","967.0","93.0","1060.0","731361.0","55689380.0","77009424.0","119374.0","372362.0","-","77501160.0","12045599.0"
"【産業分類　17　石油製品・石炭製品製造業】_和歌山市","4.0","135.0","7.0","142.0","80861.0","3390314.0","4121435.0","χ","χ","-","4121531.0","597411.0"
"【産業分類　17　石油製品・石炭製品製造業】_海南市","5.0","297.0","31.0","328.0","188196.0","4102802.0","5151703.0","117945.0","205854.0","-","5475502.0","1302734.0"
"【産業分類　17　石油製品・石炭製品製造業】_橋本市","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_有田市","1.0","511.0","51.0","562.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　17　石油製品・石炭製品製造業】_御坊市","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_田辺市","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_新宮市","3.0","6.0","2.0","8.0","2225.0","13969.0","17719.0","-","1168.0","-","18887.0","4782.0"
"【産業分類　17　石油製品・石炭製品製造業】_紀の川市","1.0","4.0","1.0","5.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　17　石油製品・石炭製品製造業】_岩出市","1.0","1.0","-","1.0","χ","χ","-","χ","χ","-","χ","χ"
"【産業分類　17　石油製品・石炭製品製造業】_紀美野町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_かつらぎ町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_高野町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_湯浅町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_広川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_有田川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_美浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_日高町","1.0","1.0","-","1.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　17　石油製品・石炭製品製造業】_由良町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_印南町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_みなべ町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_日高川町","1.0","11.0","1.0","12.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　17　石油製品・石炭製品製造業】_白浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_上富田町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_那智勝浦町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　17　石油製品・石炭製品製造業】_串本町","1.0","1.0","-","1.0","χ","χ","χ","χ","-","-","χ","χ"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_総　　数","122.0","1142.0","735.0","1877.0","564592.0","2305317.0","4423897.0","135687.0","93810.0","-","4653394.0","2107681.0"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_和歌山市","20.0","101.0","111.0","212.0","51593.0","87709.0","160197.0","15525.0","3313.0","-","179035.0","90015.0"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_海南市","32.0","233.0","246.0","479.0","125403.0","687419.0","1280595.0","30418.0","6616.0","-","1317629.0","571955.0"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_橋本市","4.0","6.0","7.0","13.0","909.0","1032.0","1849.0","2129.0","-","-","3978.0","2805.0"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_有田市","5.0","22.0","11.0","33.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_御坊市","5.0","66.0","16.0","82.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_田辺市","4.0","52.0","33.0","85.0","28392.0","67855.0","132749.0","-","34843.0","-","167592.0","88468.0"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_新宮市","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_紀の川市","11.0","142.0","76.0","218.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_岩出市","2.0","17.0","2.0","19.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_紀美野町","15.0","52.0","106.0","158.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_かつらぎ町","1.0","4.0","3.0","7.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_九度山町","1.0","1.0","1.0","2.0","-","χ","-","χ","-","-","χ","χ"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_高野町","1.0","1.0","1.0","2.0","-","χ","χ","-","-","-","χ","χ"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_湯浅町","2.0","5.0","6.0","11.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_広川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_有田川町","3.0","23.0","11.0","34.0","9344.0","30951.0","63697.0","χ","χ","-","67077.0","34339.0"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_美浜町","3.0","38.0","19.0","57.0","21957.0","24905.0","35557.0","26515.0","-","-","62072.0","34328.0"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_日高町","1.0","8.0","5.0","13.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_由良町","3.0","84.0","23.0","107.0","51117.0","289097.0","377571.0","-","16741.0","-","394312.0","95317.0"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_印南町","2.0","133.0","43.0","176.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_みなべ町","2.0","7.0","2.0","9.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_日高川町","1.0","58.0","3.0","61.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_白浜町","1.0","4.0","1.0","5.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_上富田町","3.0","85.0","9.0","94.0","38867.0","59190.0","110231.0","χ","χ","-","113414.0","51916.0"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_那智勝浦町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　18　プラスチック製品製造業（別掲を除く）】_串本町","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"【産業分類　19　ゴム製品製造業】_総　　数","20.0","667.0","438.0","1105.0","415357.0","873868.0","1757467.0","111615.0","21236.0","-","1890318.0","933349.0"
"【産業分類　19　ゴム製品製造業】_和歌山市","4.0","88.0","56.0","144.0","46075.0","126925.0","173057.0","16888.0","14982.0","-","204927.0","74238.0"
"【産業分類　19　ゴム製品製造業】_海南市","4.0","20.0","15.0","35.0","7519.0","9305.0","17529.0","2679.0","2500.0","-","22708.0","12761.0"
"【産業分類　19　ゴム製品製造業】_橋本市","1.0","15.0","3.0","18.0","χ","χ","-","χ","-","-","χ","χ"
"【産業分類　19　ゴム製品製造業】_有田市","3.0","307.0","231.0","538.0","184213.0","538511.0","1193499.0","7653.0","-","-","1201152.0","621786.0"
"【産業分類　19　ゴム製品製造業】_御坊市","1.0","17.0","16.0","33.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　19　ゴム製品製造業】_田辺市","2.0","20.0","36.0","56.0","χ","χ","-","χ","-","-","χ","χ"
"【産業分類　19　ゴム製品製造業】_新宮市","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_紀の川市","2.0","155.0","31.0","186.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　19　ゴム製品製造業】_岩出市","2.0","44.0","47.0","91.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　19　ゴム製品製造業】_紀美野町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_かつらぎ町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_高野町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_湯浅町","1.0","1.0","3.0","4.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　19　ゴム製品製造業】_広川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_有田川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_美浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_日高町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_由良町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_印南町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_みなべ町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_日高川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_白浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_上富田町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_那智勝浦町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　19　ゴム製品製造業】_串本町","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"【産業分類　20　なめし革・同製品・毛皮製造業】_総　　数","24.0","91.0","66.0","157.0","33719.0","93356.0","122094.0","34801.0","-","-","156895.0","58126.0"
"【産業分類　20　なめし革・同製品・毛皮製造業】_和歌山市","15.0","60.0","28.0","88.0","23614.0","62734.0","73051.0","30705.0","-","-","103756.0","39068.0"
"【産業分類　20　なめし革・同製品・毛皮製造業】_海南市","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_橋本市","1.0","1.0","1.0","2.0","-","χ","-","χ","-","-","χ","χ"
"【産業分類　20　なめし革・同製品・毛皮製造業】_有田市","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_御坊市","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_田辺市","1.0","1.0","1.0","2.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　20　なめし革・同製品・毛皮製造業】_新宮市","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_紀の川市","1.0","20.0","25.0","45.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　20　なめし革・同製品・毛皮製造業】_岩出市","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_紀美野町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_かつらぎ町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_高野町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_湯浅町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_広川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_有田川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_美浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_日高町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_由良町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_印南町","1.0","1.0","3.0","4.0","χ","χ","-","χ","-","-","χ","χ"
"【産業分類　20　なめし革・同製品・毛皮製造業】_みなべ町","2.0","3.0","3.0","6.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　20　なめし革・同製品・毛皮製造業】_日高川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_白浜町","1.0","1.0","3.0","4.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　20　なめし革・同製品・毛皮製造業】_上富田町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_那智勝浦町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　20　なめし革・同製品・毛皮製造業】_串本町","2.0","4.0","2.0","6.0","χ","χ","-","χ","-","-","χ","χ"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"【産業分類　21　窯業・土石製品製造業】_総　　数","125.0","1185.0","252.0","1437.0","542151.0","2497552.0","3573560.0","903512.0","234306.0","167.0","4711545.0","2134028.0"
"【産業分類　21　窯業・土石製品製造業】_和歌山市","35.0","433.0","102.0","535.0","236949.0","1417322.0","1634168.0","855370.0","90666.0","167.0","2580371.0","1132435.0"
"【産業分類　21　窯業・土石製品製造業】_海南市","5.0","52.0","8.0","60.0","24017.0","70935.0","102039.0","5829.0","11212.0","-","119080.0","47360.0"
"【産業分類　21　窯業・土石製品製造業】_橋本市","8.0","65.0","18.0","83.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　21　窯業・土石製品製造業】_有田市","4.0","11.0","6.0","17.0","9782.0","37693.0","64516.0","χ","χ","-","65085.0","27376.0"
"【産業分類　21　窯業・土石製品製造業】_御坊市","6.0","34.0","11.0","45.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　21　窯業・土石製品製造業】_田辺市","10.0","37.0","9.0","46.0","11559.0","25866.0","49760.0","-","5928.0","-","55688.0","28403.0"
"【産業分類　21　窯業・土石製品製造業】_新宮市","4.0","9.0","5.0","14.0","4839.0","30063.0","68295.0","-","-","-","68295.0","36412.0"
"【産業分類　21　窯業・土石製品製造業】_紀の川市","9.0","131.0","22.0","153.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　21　窯業・土石製品製造業】_岩出市","3.0","50.0","8.0","58.0","20656.0","36551.0","85579.0","-","43244.0","-","128823.0","88510.0"
"【産業分類　21　窯業・土石製品製造業】_紀美野町","2.0","49.0","3.0","52.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　21　窯業・土石製品製造業】_かつらぎ町","3.0","50.0","7.0","57.0","21889.0","87577.0","152805.0","-","273.0","-","153078.0","63475.0"
"【産業分類　21　窯業・土石製品製造業】_九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　21　窯業・土石製品製造業】_高野町","2.0","9.0","4.0","13.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　21　窯業・土石製品製造業】_湯浅町","2.0","47.0","10.0","57.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　21　窯業・土石製品製造業】_広川町","1.0","15.0","4.0","19.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　21　窯業・土石製品製造業】_有田川町","5.0","28.0","4.0","32.0","χ","χ","χ","-","-","-","χ","χ"
