"従業者規模","事業所数","従　　業　　者　　数_常用労働者_男_（人）","従　　業　　者　　数_常用労働者_女_（人）","従　　業　　者　　数_常用労働者_小計_（人）","従　　業　　者　　数_個人事業主等_男_（人）","従　　業　　者　　数_個人事業主等_女_（人）","従　　業　　者　　数_個人事業主等_小計_（人）","従　　業　　者　　数_合　計_（人）","事業に従事する者の人件費及び派遣受入者に係る人材・派遣会社への支払額_（万円）","原材料、燃料、電力の使用額等_（万円）","製　造　品　出　荷　額　等_製造品出荷額_（万円）","製　造　品　出　荷　額　等_加工賃収入額_（万円）","製　造　品　出　荷　額　等_その他収入額_（万円）","製　造　品　出　荷　額　等_くず・廃物の出荷額_（万円）","製　造　品　出　荷　額　等_合   計_（万円）","付加価値額　　_（万円）"
"29　電気_ 20～ 29人","7.0","113.0","62.0","175.0","-","-","-","175.0","51458.0","109816.0","166810.0","33252.0","8424.0","-","208486.0","96264.0"
"29　電気_ 30～ 99人","11.0","408.0","221.0","629.0","-","-","-","629.0","206492.0","1140832.0","1425955.0","82079.0","13946.0","-","1521980.0","388149.0"
"29　電気_100～299人","3.0","465.0","215.0","680.0","-","-","-","680.0","372326.0","1728088.0","2401403.0","-","-","-","2401403.0","643861.0"
"29　電気_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"30　情報","6.0","183.0","151.0","334.0","1.0","-","1.0","335.0","114609.0","43825.0","13332.0","212302.0","35144.0","-","260778.0","200533.0"
"30　情報_  1～  3人","3.0","2.0","2.0","4.0","1.0","-","1.0","5.0","557.0","11265.0","13332.0","5.0","1300.0","-","14637.0","3254.0"
"30　情報_  4～  9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"30　情報_ 10～ 19人","1.0","2.0","13.0","15.0","-","-","-","15.0","χ","χ","-","χ","-","-","χ","χ"
"30　情報_ 20～ 29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"30　情報_ 30～ 99人","1.0","35.0","31.0","66.0","-","-","-","66.0","χ","χ","-","χ","χ","-","χ","χ"
"30　情報_100～299人","1.0","144.0","105.0","249.0","-","-","-","249.0","χ","χ","-","χ","χ","-","χ","χ"
"30　情報_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"31　輸送","56.0","552.0","143.0","695.0","32.0","5.0","37.0","732.0","270689.0","484342.0","1094586.0","424906.0","13601.0","-","1533093.0","1008690.0"
"31　輸送_  1～  3人","29.0","13.0","8.0","21.0","29.0","5.0","34.0","55.0","5386.0","17134.0","23814.0","12530.0","546.0","-","36890.0","18917.0"
"31　輸送_  4～  9人","13.0","59.0","16.0","75.0","2.0","-","2.0","77.0","21572.0","33733.0","68536.0","17932.0","1595.0","-","88063.0","52839.0"
"31　輸送_ 10～ 19人","7.0","81.0","27.0","108.0","1.0","-","1.0","109.0","43399.0","88091.0","124434.0","58016.0","439.0","-","182889.0","92103.0"
"31　輸送_ 20～ 29人","2.0","25.0","15.0","40.0","-","-","-","40.0","χ","χ","-","χ","χ","-","χ","χ"
"31　輸送_ 30～ 99人","3.0","103.0","12.0","115.0","-","-","-","115.0","χ","χ","χ","χ","χ","-","χ","χ"
"31　輸送_100～299人","2.0","271.0","65.0","336.0","-","-","-","336.0","χ","χ","χ","χ","χ","-","χ","χ"
"31　輸送_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"32　そ他","301.0","965.0","737.0","1702.0","203.0","80.0","283.0","1985.0","528596.0","1206450.0","2330633.0","91145.0","118247.0","-","2540025.0","1220404.0"
"32　そ他_  1～  3人","185.0","71.0","49.0","120.0","162.0","60.0","222.0","342.0","26171.0","70956.0","140691.0","23133.0","12135.0","-","175959.0","100027.0"
"32　そ他_  4～  9人","73.0","175.0","163.0","338.0","38.0","20.0","58.0","396.0","82607.0","177861.0","331240.0","24591.0","10732.0","-","366563.0","181452.0"
"32　そ他_ 10～ 19人","26.0","164.0","180.0","344.0","3.0","-","3.0","347.0","87312.0","203483.0","375804.0","7820.0","8560.0","-","392184.0","180668.0"
"32　そ他_ 20～ 29人","6.0","75.0","69.0","144.0","-","-","-","144.0","46439.0","86081.0","167473.0","16023.0","5171.0","-","188667.0","97121.0"
"32　そ他_ 30～ 99人","10.0","404.0","211.0","615.0","-","-","-","615.0","χ","χ","χ","19578.0","χ","-","χ","χ"
"32　そ他_100～299人","1.0","76.0","65.0","141.0","-","-","-","141.0","χ","χ","χ","-","χ","-","χ","χ"
"32　そ他_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
