"従業者規模","事業所数","従業者数_（人）","製造品出荷額等_（万円）","付加価値額_（万円）　　","従業者規模"
"印南町_300人以上","-","-","-","-","300人以上 "
"みなべ町","118.0","1748.0","3093366.0","1209990.0","みなべ町"
"みなべ町_  1～  3人","30.0","65.0","94627.0","44638.0","  1～  3人"
"みなべ町_  4～  9人","49.0","293.0","351897.0","158285.0","  4～  9人"
"みなべ町_ 10～ 19人","18.0","265.0","317188.0","160318.0"," 10～ 19人"
"みなべ町_ 20～ 29人","6.0","134.0","136788.0","73336.0"," 20～ 29人"
"みなべ町_ 30～ 99人","12.0","615.0","1271029.0","418291.0"," 30～ 99人"
"みなべ町_100～299人","3.0","376.0","921837.0","355122.0","100～299人"
"みなべ町_300人以上","-","-","-","-","300人以上 "
"日高川町","29.0","754.0","1619224.0","553983.0","日高川町"
"日高川町_  1～  3人","6.0","12.0","3043.0","2170.0","  1～  3人"
"日高川町_  4～  9人","8.0","56.0","107855.0","44995.0","  4～  9人"
"日高川町_ 10～ 19人","4.0","57.0","81815.0","44680.0"," 10～ 19人"
"日高川町_ 20～ 29人","4.0","105.0","140048.0","45586.0"," 20～ 29人"
"日高川町_ 30～ 99人","5.0","268.0","χ","χ"," 30～ 99人"
"日高川町_100～299人","2.0","256.0","χ","χ","100～299人"
"日高川町_300人以上","-","-","-","-","300人以上 "
"白浜町","48.0","643.0","750232.0","369513.0","白浜町"
"白浜町_  1～  3人","22.0","52.0","26412.0","12301.0","  1～  3人"
"白浜町_  4～  9人","17.0","97.0","82355.0","46498.0","  4～  9人"
"白浜町_ 10～ 19人","3.0","36.0","41473.0","20652.0"," 10～ 19人"
"白浜町_ 20～ 29人","2.0","43.0","χ","χ"," 20～ 29人"
"白浜町_ 30～ 99人","3.0","174.0","403925.0","142797.0"," 30～ 99人"
"白浜町_100～299人","1.0","241.0","χ","χ","100～299人"
"白浜町_300人以上","-","-","-","-","300人以上 "
"上富田町","48.0","1100.0","2102848.0","902740.0","上富田町"
"上富田町_  1～  3人","15.0","29.0","18025.0","11907.0","  1～  3人"
"上富田町_  4～  9人","17.0","110.0","155840.0","99350.0","  4～  9人"
"上富田町_ 10～ 19人","3.0","48.0","63056.0","27071.0"," 10～ 19人"
"上富田町_ 20～ 29人","3.0","77.0","121495.0","70176.0"," 20～ 29人"
"上富田町_ 30～ 99人","9.0","636.0","χ","χ"," 30～ 99人"
"上富田町_100～299人","1.0","200.0","χ","χ","100～299人"
"上富田町_300人以上","-","-","-","-","300人以上 "
"","","","","",""
"","","","","",""
"","","","","",""
"すさみ町","22.0","158.0","289724.0","144409.0","すさみ町"
"すさみ町_  1～  3人","11.0","18.0","15469.0","-1803.0","  1～  3人"
